SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
58,mpokhara-satmane-sw1,FALSE,7/25/2025 18:16:15,7/25/2025 18:21:31,Switch,Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003657407411,Prov4
59,mbhandara <-> mmanahari [10G],,7/25/2025 18:22:57,7/26/2025 12:27:00,Link Down,********,Fiber Breakage,9th Shrawan,"0 days, 18 hrs, 04 min",Informed to Suman ji Team will look into the issue tomorrow ,Fiber,0.7528125,**********
60,msirdibas-sw1,TRUE,7/25/2025 18:24:52,7/26/2025 7:17:02,Switch,Gorkha NTA,Full Solar POP,9th Shrawan,"0 days, 12 hrs, 52 min",,Power,0.5362268519,**********
61,mdandagaun-sw1,FALSE,7/25/2025 18:42:19,7/25/2025 21:02:03,Switch,Central Region,Rebooted,9th Shrawan,"0 days, 02 hrs, 19 min",,Power,0.09703703703,Prov3
62,mbalaju-te-0-0-0-2:To-mekaltar-te-0-0-24,,7/25/2025 19:20:32,7/25/2025 22:30:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 03 hrs, 09 min",,Traffic Issue,0.1315740741,**********
63,mhaleshi-sw1,FALSE,7/25/2025 19:22:01,7/25/2025 19:47:37,Switch,Eastern Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 25 min",,Power,0.01777777778,Prov1
64,mbirauta-te-0-0-0-2:To-msyangja-te-0-0-24,,7/25/2025 19:49:02,7/25/2025 20:30:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 00 hrs, 40 min",,Traffic Issue,0.02844907407,**********
65,mhetauda-warehouse-sw1,FALSE,7/25/2025 20:06:13,7/25/2025 20:10:10,Switch,Central Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002743055556,Prov3
66,mchapur-te-0-0-0-7:To-msukhadev-te-0-0-0-0,,7/25/2025 20:08:56,7/25/2025 22:00:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 01 hrs, 51 min",,Traffic Issue,0.07712962963,**********
67,mlekhanath-te-0-0-0-15:To-mkusma-LAG-BE13-te-0-0-12,,7/25/2025 20:10:03,7/25/2025 22:00:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 01 hrs, 49 min",,Traffic Issue,0.07635416667,**********
68,mgumdi-sw1,TRUE,7/25/2025 20:18:00,7/25/2025 20:20:38,Switch,Dhading NTA,Unknown,9th Shrawan,"0 days, 00 hrs, 02 min",,Unknown,0.001828703702,Prov3
69,mbaglung-te-0-0-24:To-mgalkot-hatiya-te-0-0-24,,7/25/2025 20:18:58,7/25/2025 22:00:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 01 hrs, 41 min",,Traffic Issue,0.07016203704,**********
70,mbaglung-te-0-0-26:To-mkusma-te-0-0-13,,7/25/2025 20:11:25,7/25/2025 22:30:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 02 hrs, 18 min",,Traffic Issue,0.09623842593,**********
71,mbirauta-te-0-0-0-0:To-mwaling-xe-1-3-0,,7/25/2025 20:31:28,7/25/2025 22:00:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 01 hrs, 28 min",,Traffic Issue,0.06148148148,**********
72,mgalchi <-> mtrishuli [10G],,7/25/2025 20:38:05,7/26/2025 13:45:00,Link Down,********,Fiber Breakage,9th Shrawan,"0 days, 17 hrs, 06 min",,Fiber,0.7131365741,**********
73,mdatahub-et-3-1-5:To-mhetauda-et-1-1-5-via-pss32-dh-01#1-8-C2-LAG-[200G]-ae9,,7/25/2025 20:40:54,7/25/2025 22:15:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 01 hrs, 34 min",,Traffic Issue,0.06534722223,**********
74,mswitchatar-te-0–0-0-0-2:To-mthankot--Via-NEA-Fiber-te-0-0-27,,7/25/2025 20:43:17,7/25/2025 22:00:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 01 hrs, 16 min",,Traffic Issue,0.05327546296,**********
75,mwaling-xe-1-2-0:To-mgalyang-te-0-0-12,,7/25/2025 20:34:33,7/25/2025 22:45:00,Traffic Congestion,********,Congestion,9th Shrawan,"0 days, 02 hrs, 10 min",,Traffic Issue,0.09059027777,**********
76,mjamune-sw1,FALSE,7/25/2025 21:33:08,7/26/2025 8:15:19,Switch,Highway PoP,Rebooted,9th Shrawan,"0 days, 10 hrs, 42 min",,Power,0.4459606481,Prov4
77,mpatan-baitadi-sw1,,7/25/2025 23:50:42,7/26/2025 6:22:53,Switch,********,Rebooted,9th Shrawan,"0 days, 06 hrs, 32 min",,Power,0.272349537,Prov7
78,msardi-sw1,FALSE,7/25/2025 23:08:58,7/25/2025 23:34:00,Switch,Western Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 25 min",,Power,0.01738425926,Prov5
79,mkataridanda-sw1,FALSE,7/25/2025 23:21:19,7/26/2025 6:06:22,Switch,Eastern Region,Rebooted,9th Shrawan,"0 days, 06 hrs, 45 min",,Power,0.2812847222,**********
80,mcharikot,FALSE,7/25/2025 23:33:49,7/25/2025 23:45:00,MPLS,Central Region,Rebooted,9th Shrawan,"0 days, 00 hrs, 11 min",,Power,0.007766203707,Prov3
81,mgumdi-sw1,TRUE,7/25/2025 23:40:38,7/29/2025 14:32:49,Switch,Dhading NTA,POE device Damage,9th Shrawan,"3 days, 14 hrs, 52 min",,Device,3.619571759,Prov3
1,mrajbiraj-sw1,FALSE,7/26/2025 0:31:42,7/26/2025 0:35:40,Switch,Eastern Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002754629626,Prov2
2,mhatemalo-dls-sw1,FALSE,7/26/2025 1:18:00,7/26/2025 8:42:25,Switch,********,Rebooted,10th Shrawan,"0 days, 07 hrs, 24 min",,Power,0.3086226852,Prov4
3,mbuditola-sw1,FALSE,7/26/2025 2:07:52,7/26/2025 7:30:42,Switch,Far Western Region,Rebooted,10th Shrawan,"0 days, 05 hrs, 22 min",,Power,0.2241898148,Prov7
4,mjujeneta-sw1,FALSE,7/26/2025 2:31:03,7/26/2025 3:44:33,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 01 hrs, 13 min",,Power,0.05104166667,Prov5
5,mkakanidanda-sw1,TRUE,7/26/2025 3:01:33,7/26/2025 13:01:37,Switch,Central Region,Rebooted,10th Shrawan,"0 days, 10 hrs, 00 min",,Power,0.416712963,Prov3
6,millam,,7/26/2025 4:13:17,7/26/2025 9:22:00,MPLS,********,Rebooted,10th Shrawan,"0 days, 05 hrs, 08 min",,Power,0.2143865741,Prov1
7,msardi-sw2,FALSE,7/26/2025 5:04:00,7/26/2025 7:36:11,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 02 hrs, 32 min",,Power,0.1056828704,Prov5
8,mhaleshi-sw1,FALSE,7/26/2025 5:07:15,7/26/2025 5:58:00,Switch,Eastern Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 50 min",,Power,0.03524305556,Prov1
9,mmangalbare-illam-sw1,,7/26/2025 4:37:43,7/26/2025 8:37:43,Switch,********,Rebooted,10th Shrawan,"0 days, 04 hrs, 00 min",,Power,0.1666666667,Prov1
10,mjujeneta-sw1,FALSE,7/26/2025 7:24:33,7/26/2025 8:26:44,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 01 hrs, 02 min",,Power,0.04318287037,Prov5
11,mdatahub-mbirgunj-nea [200G],,7/26/2025 8:00:00,7/26/2025 8:02:00,Link Flap,********,Unknown,10th Shrawan,"0 days, 00 hrs, 02 min",,Unknown,0.001388888886,**********
12,mbal <->mdatahub [100G] -Kalopool Route,,7/26/2025 8:20:02,7/26/2025 12:57:00,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 04 hrs, 36 min",,Fiber,0.192337963,**********
13,mkerkha-sw1,FALSE,7/26/2025 8:25:07,7/26/2025 17:07:17,Switch,Eastern Region,Fiber Issue,10th Shrawan,"0 days, 08 hrs, 42 min",,Fiber,0.3626157407,Prov1
14,mbardaghat - mbhairahawa [40G],,7/26/2025 10:18:28,7/26/2025 14:56:31,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 04 hrs, 38 min",As per Umanga ji  This task will be looked on tomorrow as they have limited team members today and they are also busy in other tasks ,Fiber,0.1930902778,**********
15,mkolkoche-sw1,,7/26/2025 10:28:59,7/26/2025 13:56:09,Switch,********,Rebooted,10th Shrawan,"0 days, 03 hrs, 27 min",,Power,0.1438657407,Prov5
16,mnaikap-sw1,FALSE,7/26/2025 11:13:00,7/26/2025 11:20:00,Switch,Central Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.004861111105,Prov3
17,mdhalkebar <-> mjanakpur [100G],,7/26/2025 11:24:00,7/30/2025 11:24:00,Link Down,********,Optical Power,10th Shrawan,"4 days, 00 hrs, 00 min","As per Laxmi ji , due to rainfall task was halt for an hour . Now team has been forwarded for another events . It will take time .",Fiber,4,**********
18,mchanauli-sw1,FALSE,7/26/2025 11:31:49,7/26/2025 15:03:59,Switch,Central Region,Fiber Breakage,10th Shrawan,"0 days, 03 hrs, 32 min",,Fiber,0.147337963,Prov3
19,mhille <->mbasantapur [10G] -TM Fiber,,7/26/2025 11:55:00,7/26/2025 12:00:00,Link Down,********,Unknown,10th Shrawan,"0 days, 00 hrs, 05 min",,Unknown,0.003472222219,**********
20,mnaikap-sw1,FALSE,7/26/2025 12:04:02,7/26/2025 13:26:35,Switch,Central Region,Battery Issue,10th Shrawan,"0 days, 01 hrs, 22 min",,Power,0.05732638889,Prov3
21,Damak-Duhabi,,7/26/2025 12:39:00,7/26/2025 14:12:00,Link Down,********,Pole shifting,10th Shrawan,"0 days, 01 hrs, 33 min",,Fiber,0.06458333333,**********
22,pss32-damak,,7/26/2025 13:05:17,7/26/2025 14:17:00,Link Down,********,Fiber Issue,10th Shrawan,"0 days, 01 hrs, 11 min",,Fiber,0.04980324074,**********
23,msanothimi - mradheradhe [10G],,7/26/2025 13:40:34,7/26/2025 15:38:57,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 01 hrs, 58 min",,Fiber,0.08221064815,**********
24,mdatahub <->mkamaladi [10G] || mdatahub<->mtinkune [10G],,7/26/2025 13:42:00,7/26/2025 19:19:55,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 05 hrs, 37 min","As per team , NTC is removing old fiber from the pole . Need to pull fiber  . ETR 6-7 pm. Affected area near datahub thapathali front of Hyundai ",Fiber,0.2346643519,**********
25,msardi-sw1,FALSE,7/26/2025 14:05:56,7/26/2025 14:37:22,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 31 min",,Power,0.02182870371,Prov5
26,mrudrabeni-sw1,FALSE,7/26/2025 14:07:18,7/26/2025 18:02:54,Switch,Western Region,Unknown,10th Shrawan,"0 days, 03 hrs, 55 min",,Unknown,0.1636111111,Prov5
27,mnaikap-sw1,FALSE,7/26/2025 14:12:23,7/26/2025 14:32:09,Switch,Central Region,Battery Issue,10th Shrawan,"0 days, 00 hrs, 19 min",,Power,0.01372685185,Prov3
28,msardi-sw2,FALSE,7/26/2025 14:28:23,7/26/2025 14:35:56,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.005243055559,Prov5
29,msanothimi - mkhadichaur [10G] || Link,,7/26/2025 14:34:00,7/26/2025 19:20:01,Optical Power,********,Fiber Breakage,10th Shrawan,"0 days, 04 hrs, 46 min",All teams are busy with different traps link maintenance. Team will do the needful tomorrow. ,Fiber,0.1986226852,**********
30,mdamak <->mitahari [30G] -BL Fiber || Link,,7/26/2025 14:45:55,7/27/2025 17:04:04,Link Down,********,Fiber Issue,10th Shrawan,"1 days, 02 hrs, 18 min",We are coordinating with BL.,Fiber,1.0959375,**********
31,mdhalkebar-te-0-0-0-1:To-mjanakpur-te-0-0-0-26-LAG-BE10,,7/26/2025 14:54:03,7/26/2025 17:00:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 02 hrs, 05 min",,Traffic Issue,0.08746527778,**********
32,bu-3-mbelbari-connected-to-po3.mbiratchowk-LACP-[10G],,7/26/2025 15:00:07,7/26/2025 17:00:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 01 hrs, 59 min",,Traffic Issue,0.08325231482,**********
33,mbal <-> mranibari [10G] - ADSS Fiber***,,7/26/2025 15:02:19,7/26/2025 17:33:00,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 02 hrs, 30 min",As per update from team there is fiber breakage at the distance of 1367 mtr from pop end,Fiber,0.1046412037,**********
34,mitahari - mdharan [20G],,7/26/2025 14:58:33,7/26/2025 15:46:00,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 00 hrs, 47 min",,Fiber,0.03295138889,**********
35,mnarayanthan - mbal [10G],,7/26/2025 15:06:32,7/26/2025 17:49:00,Link Down,********,Fiber Issue,10th Shrawan,"0 days, 02 hrs, 42 min",Acknowledged . Team busy .,Fiber,0.1128240741,**********
36,gshantibazaar.ge-0/2/0-Connected-to-mrajapur-sw1.ge-0/0/46,,7/26/2025 14:45:28,7/26/2025 17:00:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 02 hrs, 14 min",,Traffic Issue,0.09342592593,**********
37,mdhumbarahi-wsn - mkhadichaur [10G],,7/26/2025 14:29:47,7/26/2025 19:35:33,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 05 hrs, 05 min",,Fiber,0.212337963,**********
38,mtatopani-sw1,FALSE,7/26/2025 14:33:04,7/26/2025 19:15:14,Switch,********,Fiber Issue,10th Shrawan,"0 days, 04 hrs, 42 min",Pradip ji and team from Banepa is preparing to move for Khadichaur.It will take time to reach there and maintain the link . ETR till 8pm .,Fiber,0.1959490741,Prov3
39,mitahari-te-0-5-0-2:To-mbiratchowk-te-0-0-25,,7/26/2025 14:51:36,7/26/2025 17:00:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 02 hrs, 08 min",,Traffic Issue,0.08916666667,**********
40,mcharikot - mkhadichaur [10G],,7/26/2025 15:29:37,7/26/2025 22:44:13,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 07 hrs, 14 min","As per our team, fiber breakage was already maintained, but optical power is obtaining low at Khadichaur side. Team is currently unable to optimize optical power due to poor visibility at night. Team will do the needful tomorrow morning.",Fiber,0.3018055556,**********
41,msardi-sw1,FALSE,7/26/2025 15:43:37,7/26/2025 17:42:44,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 01 hrs, 59 min",,Power,0.0827199074,Prov5
42,mpalpa-sw1,FALSE,7/26/2025 16:25:07,7/26/2025 16:26:26,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 01 min",,Power,0.0009143518546,Prov5
43,mkoltifm-sw1,TRUE,7/26/2025 16:31:49,7/26/2025 16:37:05,Switch,Far Western Region,Full Solar POP,10th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003657407411,**********
44,mbayarghari-sw1,FALSE,7/26/2025 16:43:59,7/26/2025 19:56:09,Switch,Western Region,Fiber Issue,10th Shrawan,"0 days, 03 hrs, 12 min",,Fiber,0.1334490741,Prov5
45,msoaltee <-> mpulchowk [100G],,7/26/2025 17:45:59,7/26/2025 18:30:00,Link Flap,********,Link Flap,10th Shrawan,"0 days, 00 hrs, 44 min",,Link Issue,0.03056712963,**********
46,mkhanar-sw1,,7/26/2025 17:51:59,7/26/2025 20:17:20,Switch,********,Rebooted,10th Shrawan,"0 days, 02 hrs, 25 min",,Power,0.1009375,Prov1
47,mpokhara-satmane-sw1,FALSE,7/26/2025 17:56:49,7/26/2025 18:19:00,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 22 min",As per anmol ji All team are on leave today so matter will be looked on tomorrow,Power,0.01540509259,Prov4
48,msirdibas-sw1,TRUE,7/26/2025 18:27:02,7/27/2025 7:39:13,Switch,Gorkha NTA,Full Solar POP,10th Shrawan,"0 days, 13 hrs, 12 min",,Power,0.5501273148,**********
49,mdaphelake-sw1,TRUE,7/26/2025 18:47:38,7/27/2025 6:43:59,Switch,Far Western Region,Full Solar POP,10th Shrawan,"0 days, 11 hrs, 56 min",,Power,0.4974652778,**********
50,mbajurabazaar-sw1,FALSE,7/26/2025 18:37:09,7/27/2025 12:09:20,Switch,Far Western Region,Rebooted,10th Shrawan,"0 days, 17 hrs, 32 min",,Power,0.7306828704,Prov7
51,msardi-sw2,FALSE,7/26/2025 19:16:09,7/26/2025 20:00:18,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 44 min",,Power,0.03065972222,Prov5
52,mdatahub <->mkamaladi [10G],,7/26/2025 13:42:00,7/29/2025 17:58:00,Link Down,********,Core Damage,10th Shrawan,"3 days, 04 hrs, 16 min",Team are still busy with another task if possible Link will be maintained by evening otherwise tomorrow,Fiber,3.177777778,**********
53,msardi-sw1,FALSE,7/26/2025 19:37:09,7/26/2025 19:53:16,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 16 min",,Power,0.01119212963,Prov5
54,mkhadichaur-gi-0-0-0-20:To-maahaldanda-gi-0-0-2,,7/26/2025 19:23:48,7/26/2025 20:08:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 00 hrs, 44 min",,Traffic Issue,0.03069444445,**********
55,mchapur-te-0-0-0-9:To-msukhadev-te-0-0-0-23,,7/26/2025 20:11:16,7/26/2025 21:30:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 01 hrs, 18 min",,Traffic Issue,0.05467592593,**********
56,mdhalkebar - mbal[100G],,7/26/2025 20:26:00,7/26/2025 20:26:00,Link Flap,********,Unknown,10th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0,**********
57,mnepalgunj-te-0-0-27:To-mkhajura-sw1-xg-0-0-1,,7/26/2025 20:28:10,7/26/2025 22:00:00,Traffic Congestion,********,Congestion,10th Shrawan,"0 days, 01 hrs, 31 min",,Traffic Issue,0.06377314815,**********
58,mjhiljhile - mdamak [10G],,7/26/2025 20:51:19,7/27/2025 14:21:20,Link Down,********,Fiber Breakage,10th Shrawan,"0 days, 17 hrs, 30 min",,Fiber,0.7291782407,**********
59,mkhanar-sw1,,7/26/2025 20:57:20,7/27/2025 6:38:23,Switch,********,Rebooted,10th Shrawan,"0 days, 09 hrs, 41 min",,Power,0.4035069445,Prov1
60,msardi-sw1,FALSE,7/26/2025 22:01:00,7/26/2025 22:03:00,Switch,Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov5
61,mkataridanda-sw1,FALSE,7/26/2025 22:15:24,7/27/2025 9:57:34,Switch,Eastern Region,Rebooted,10th Shrawan,"0 days, 11 hrs, 42 min",,Power,0.4876157407,**********
62,mjantilake-sw1,FALSE,7/26/2025 22:31:00,7/27/2025 5:23:02,Switch,Far Western Region,Rebooted,10th Shrawan,"0 days, 06 hrs, 52 min",,Power,0.2861342593,Prov6
63,mkakanidanda-sw1,TRUE,7/26/2025 22:41:38,7/27/2025 11:51:34,Switch,Central Region,Rebooted,10th Shrawan,"0 days, 13 hrs, 09 min",,Power,0.5485648148,Prov3
64,mjhalari-sw1,FALSE,7/26/2025 23:15:22,7/26/2025 23:18:00,Switch,Far Western Region,Rebooted,10th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001828703702,Prov7
1,mdoti-sw1,FALSE,7/27/2025 0:09:00,7/27/2025 4:51:10,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 04 hrs, 42 min",,Power,0.1959490741,Prov7
2,mdhading-wireless-sw1,FALSE,7/27/2025 0:22:00,7/27/2025 5:34:00,Switch,Highway PoP,Rebooted,11th Shrawan,"0 days, 05 hrs, 12 min",,Power,0.2166666667,Prov3
3,mpatan-baitadi-sw1,,7/27/2025 0:42:54,7/27/2025 6:45:04,Switch,********,Rebooted,11th Shrawan,"0 days, 06 hrs, 02 min",,Power,0.2515046296,Prov7
4,mtadi,FALSE,7/27/2025 2:42:00,7/27/2025 3:09:00,MPLS,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 27 min",,Power,0.01875,Prov3
5,mjhalari-sw1,FALSE,7/27/2025 3:03:00,7/27/2025 3:06:00,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov7
6,mrindanda-sw1,FALSE,7/27/2025 2:53:28,7/27/2025 6:55:38,Switch,Central Region,Rebooted,11th Shrawan,"0 days, 04 hrs, 02 min",,Power,0.1681712963,Prov3
7,mbuditola-sw1,FALSE,7/27/2025 3:51:03,7/27/2025 6:56:00,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 03 hrs, 04 min",,Power,0.1284375,Prov7
8,mhaleshi-sw1,FALSE,7/27/2025 3:56:01,7/27/2025 6:31:38,Switch,Eastern Region,Rebooted,11th Shrawan,"0 days, 02 hrs, 35 min",,Power,0.1080671296,Prov1
9,mbudathum-sw1,FALSE,7/27/2025 3:26:25,7/27/2025 5:48:00,Switch,Gorkha NTA,Rebooted,11th Shrawan,"0 days, 02 hrs, 21 min",,Power,0.09832175926,Prov4
10,mhetauda-warehouse-sw1,FALSE,7/27/2025 4:05:52,7/27/2025 4:21:27,Switch,Central Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01082175926,Prov3
11,mranjha-sw1,FALSE,7/27/2025 4:18:00,7/27/2025 4:59:41,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 41 min",,Power,0.02894675926,Prov5
12,mbardaghat-sw1 - mparasi-sw1,,7/27/2025 4:40:00,7/27/2025 14:06:00,Link Down,********,Fiber Breakage,11th Shrawan,"0 days, 09 hrs, 26 min",Link has been maintained. please verify ,Fiber,0.3930555556,**********
13,mmurtidanda-sw1,FALSE,7/27/2025 4:58:50,7/27/2025 11:11:00,Switch,Eastern Region,CT Line Issue/Backup Drained,11th Shrawan,"0 days, 06 hrs, 12 min",,Power,0.2584490741,Prov1
14,mgajuri-sw1,FALSE,7/27/2025 4:18:18,7/27/2025 10:30:28,Switch,Highway PoP,Unknown,11th Shrawan,"0 days, 06 hrs, 12 min",,Unknown,0.2584490741,Prov3
15,mtaapkharka-sw1,TRUE,7/27/2025 5:06:48,7/27/2025 13:26:58,Switch,Central Region,Rebooted,11th Shrawan,"0 days, 08 hrs, 20 min",,Power,0.347337963,Prov3
16,mranjha-sw1,FALSE,7/27/2025 4:49:00,7/27/2025 5:54:00,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 01 hrs, 05 min",,Power,0.04513888889,Prov5
17,mkhanar-sw1,,7/27/2025 6:38:44,7/27/2025 6:40:23,Switch,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 01 min",,Power,0.001145833332,Prov1
18,mdulegauda <-> mdamauli [10G],,7/27/2025 6:58:47,7/28/2025 12:46:56,Link Down,********,Fiber Breakage,11th Shrawan,"1 days, 05 hrs, 48 min",As per Sundar ji Fiber break is measured at 19 km from Dulegauda pop team will look into the issue tomorrow ,Fiber,1.241770833,**********
19,mpulchowk - msolatee[100G] || mpulchowk - mdatahub[20G],,7/27/2025 7:47:47,7/27/2025 15:35:48,Link Down,********,Fiber Breakage,11th Shrawan,"0 days, 07 hrs, 48 min",,Fiber,0.3250115741,**********
20,mitahari - mdharan [20G],,7/27/2025 8:30:00,7/27/2025 8:56:00,Link Down,********,Fiber Breakage,11th Shrawan,"0 days, 00 hrs, 26 min",,Fiber,0.01805555556,**********
21,mbelauri-sw1,FALSE,7/27/2025 4:00:00,7/27/2025 9:52:54,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 05 hrs, 52 min",,Power,0.2450694444,Prov7
22,Link Flap || mbirgunj-nea - mhetauda[100G],,7/27/2025 9:30:00,7/27/2025 9:30:00,Link Flap,********,Unknown,11th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0,**********
23,mhaleshi-sw1,FALSE,7/27/2025 9:31:00,7/27/2025 18:37:13,Switch,Eastern Region,Rebooted,11th Shrawan,"0 days, 09 hrs, 06 min",,Power,0.3793171296,Prov1
24,mtadi,FALSE,7/27/2025 10:05:01,7/27/2025 10:23:19,MPLS,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 18 min",,Power,0.01270833334,Prov3
25,mbal <-> mbutwal-dh [200G],,7/27/2025 10:14:58,7/30/2025 12:39:12,Link Down,********,Fiber Issue,11th Shrawan,"3 days, 02 hrs, 24 min","As per Udhab dai , they are searching and moving ahead for the fault but its not being located . It will take time .",Fiber,3.100162037,**********
26,mlekhanath <-> mbutwal-dh [100G],,7/27/2025 10:14:58,7/29/2025 19:18:29,Link Down,********,Fiber Breakage,11th Shrawan,"2 days, 09 hrs, 03 min","As per uddap dai, Team is searching fault but it is still not being located yet. we will update after fault located",Fiber,2.37744213,**********
27,mkhanar-sw1,,7/27/2025 10:31:27,7/27/2025 10:35:47,Switch,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.003009259257,Prov1
28,mdharan,FALSE,7/27/2025 11:43:21,7/27/2025 11:50:18,MPLS,Eastern Region,CT Line Issue,11th Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004826388889,Prov1
29,msimrangadh,,7/27/2025 11:46:38,7/27/2025 12:07:35,MPLS,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 20 min",,Power,0.01454861111,Prov2
30,mlahan-office-sw1,FALSE,7/27/2025 11:50:25,7/27/2025 11:58:19,Switch,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.005486111113,Prov2
31,mkolkoche-sw1,,7/27/2025 12:23:49,7/27/2025 12:51:16,Switch,********,Rebooted,11th Shrawan,"0 days, 00 hrs, 27 min",,Power,0.0190625,Prov5
32,mdumre-sw1,FALSE,7/27/2025 12:23:49,7/27/2025 17:55:25,Switch,Highway PoP,Fiber Breakage,11th Shrawan,"0 days, 05 hrs, 31 min",,Fiber,0.2302777778,**********
33,mbal - mdhalkebar -WSN,,7/27/2025 12:49:09,7/27/2025 12:49:09,Link Flap,********,Unknown,11th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0,**********
34,mdharan,FALSE,7/27/2025 12:58:00,7/27/2025 13:00:00,MPLS,Eastern Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov1
35,mtadi,FALSE,7/27/2025 13:35:24,7/27/2025 13:47:00,MPLS,********,Unknown,11th Shrawan,"0 days, 00 hrs, 11 min",,Unknown,0.008055555554,Prov3
36,mtinkune <-> mdatahub [10G],,7/27/2025 13:40:00,7/27/2025 14:06:55,Link Down,********,Fiber Issue,11th Shrawan,"0 days, 00 hrs, 26 min",,Fiber,0.01869212963,**********
37,mbasantapur <-> mjirikhimti [10G],,7/27/2025 13:24:49,,Link Down,********,Fiber Breakage,11th Shrawan,"8 days, 03 hrs, 20 min",As per Amrit Ji  he will coordinate with Dhakal dai It will take some days ,Fiber,8.139421331,**********
38,mgaddachowki-sw1,FALSE,7/27/2025 13:56:58,7/27/2025 14:03:00,Switch,Far Western Region,Rebooted,11th Shrawan,"0 days, 00 hrs, 06 min",,Power,0.004189814819,Prov7
39,mjujeneta-sw1,FALSE,7/27/2025 13:43:55,7/27/2025 16:48:16,Switch,Western Region,Rebooted,11th Shrawan,"0 days, 03 hrs, 04 min",,Power,0.1280208333,Prov5
40,mmaharajgunj <-> mbalaju [100G],,7/27/2025 14:28:42,7/27/2025 14:29:00,Link Flap,********,Unknown,11th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0.0002083333384,**********
